'cello|виолончель|'tSelqu
substitute|замена|'sAbstItju:t
suburb|пригород|'sAbq:b
subversion|свержение|sqb'vq:Sqn
subway|метро|'sAbweI
successfully|успешно|s(q)k'sesfulI
successive|последующий|sqk'sesIv
successor|преемник|sqk'sesq
suffrage|право голоса|'sAfrd
suicide|самоубийство|'sjuIsaId
suit|ходатайство, устраивать|sju:t
suitcase|чемодан|'sju:tkeIs
suitor|проситель|'sju:tq
summarize|суммировать|'sAmqraIz
summary|конспект, суммарный|'sAmqrI
summit|вершина|'sAmIt
sunlight|солнечный свет|'sAnlaIt
sunny|солнечный|'sAnI
sunshine|солнечный свет|'sAnSaIn
superintendent|управляющий|,sju:pqrIn'tendqnt
superior|старший|sju(:)'pIqrIq
superiority|старшинство|sju(:),pIqrI'OrItI
supersonic|сверхзвуковой|'sju:pq'sOnIk
supervision|надзор|,sju:pq'vIZqn
supervisor|надзиратель|'sju:pqvaIzq
supervisory|наблюдательный|,sju:pq'vaIzqrI
supplement|добавление|'sAplIment
supplementary|дополнительный|,sAplI'mentqrI
supplier|поставщик|sq'plaIq
supporting|опорный|sq'pO:tIN
supposedly|предположительно|sq'pquzIdlI
suppress|подавлять|sq'pres
suppression|подавление|sq'preSqn
supremacy|превосходство|sju'premqsI
surplus|излишек|'sq:plqs
surprising|удивительный|sq'praIzIN
surprisingly|удивительно|sq'praIzINlI
surrender|сдача|sq'rendq
suspense|неизвестность|sqs'pens
suspension|подвешивание|sqs'penSqn
suspicious|подозрительный|sqs'pISqs
swallow|глотать|'swOlqu
swan|лебедь|swOn
swear|клясться|swFq
sweep|размах|swi:p
sweet|сладкий|swi:t
swell|надувать|swel
swift|быстрый|swIft
swindler|мошенник|'swIndlq
switchboard|коммутатор|'swItSbO:d
symbol|символ|'sImbql
sympathetic|сочувственный|,sImpq'TetIk
symptom|симптом|'sImptqm
syndicate|синдикат|'sIndIkeIt
synthetic|синтетический|sIn'TetIk
table|составлять таблицы|'teIbl
tablet|таблетка|'txblIt
tabloid|таблетка|'txblOId
tabulation|табулирование|,txbju'leISqn
tack|кнопка|txk
tackle|хватать|'txkl
tactical|тактический|'txktIkql
tailor|портной|'teIlq
takeover|национализация|
talented|талантливый|'txlqntId
tangible|осязаемый|'txndZqbl
tank|танк|txNk
tap|кран|txp
tape|лента|teIp
taunt|насмехаться|tO:nt
taxi|такси|'txksI
taxiway|рулежная дорожка|
taxpayer|налогоплательщик|'txks,peIq
teaching|обучение|'ti:tSIN
team|объединяться|ti:m
technological|технический|
ted|раскидывать|ted
teenage|юношеский|'ti:neIdZ
teenager|подросток|'ti:neIdZq
telecast|телевизионная передача|'telIkQ:st
telegraph|телеграфировать|'telIgrQ:f
televise|передавать по телевидению|'telIvaIz
temperament|темперамент|'tempqrqmqnt
temple|храм|'templ
temporarily|временно|'temprqrqlI
tempt|искушать|tempt
tendency|тенденция|'tendqnsI
tenement|арендное имущество|'tenImqnt
tentative|пробный|'tentqtIv
tenure|владение|'tenjuq
termination|конец|,tq:mI'neISqn
terrace|терраса|'terqs
terribly|страшно|
terrify|ужасать|'terIfaI
territorial|территориальный|,terI'tO:rIql
terror|страх|'terq
terrorism|терроризм|'terqrIzm
testament|завещание|'testqmqnt
testify|свидетельствовать|'testIfaI
testing|испытание|
text|текст|tekst
textbook|учебник|'tekstbuk
theatrical|театральный|TI'xtrIkql
theoretical|теоретический|TIq'retIkql
therapy|терапия|'TerqpI
thereby|таким образом|'DFq'baI
thesis|тезис|'Ti:sIs
thick|толстый|TIk
thief|вор|Ti:f
thin|тонкий|TIn
thinker|мыслитель|'TINkq
thirty|тридцать|'Tq:tI
thorough|тщательный|'TArq
thread|нитка|Tred
three-quarter|трехчетвертной|'Tri:'kwO:tq
thresher|молотильщик|'TreSq
thrill|волновать|TrIl
thug|убийца|TAg
thunder|греметь|'TAndq
tide|прилив и отлив|taId
tiger|тигр|'taIgq
tighten|сжимать|'taItn
tights|трико|taIts
till|не раньше|tIl
timber|лесоматериал|'tImbq
time|рассчитывать|taIm
timetable|расписание|
tin|олово|tIn
tiny|крошечный|'taInI
tip|кончик, наклонять|tIp
toast|тост|tqust
tobacco|табак|tq'bxkqu
toe|касаться|tqu
tolerate|терпеть|'tOlqreIt
tongue|язык|tAN
tool|инструмент, действовать|tu:l
toolroom|инструментальный цех|'tu:lrum
tooth|зуб|tu:T
toothpaste|зубная паста|
top|достигать уровня|tOp
topic|тема|'tOpIk
topple|валиться|'tOpl
toss|метание|tOs
total|подводить итог|'tqutl
toughen|делать жестким|'tAfn
tourney|турнир|'tuqnI
towards|к, по|tq'wO:dz
toy|игрушка|tOI
trace|следить|treIs
trade|торговать|treId
tradition|традиция|trq'dISqn
traditionally|традиционно|trq'dISnqlI
tragedy|трагедия|'trxdZIdI
tragic|трагический|'trxdZIk
train|поезд|treIn
trained|обученный|treInd
tramp|бродяга|trxmp
transatlantic|трансатлантический|'trxnzqt'lxntIk
transfix|пронзать|trxns'fIks
transform|преобразовывать|trxns'fO:m
transformation|преобразование|,trxnsfq'meISqn
transition|переход|trxn'sIZqn
translate|переводить|trxns'leIt
translation|перевод|trxns'leISqn
transmission|передача|trxnz'mISqn
transportation|перевозка|,trxnspO:'teISqn
traveller|путешественник|'trxvlqz'dZOI
travesty|пародия|'trxvIstI
tray|поднос|treI
treasurer|казначей|'treZqrq
treat|удовольствие|tri:t
tribal|родовой|'traIbql
tribe|род|traIb
tribune|трибуна|'trIbju:n
trick|хитрость|trIk
trickle|струйка|'trIkl
trim|порядок|trIm
triple|тройной|'trIpl
triumphal|триумфальный|traI'Amfql
trolley|тележка|'trOlI
trophy|трофей|'trqufI
trot|идти рысью|trOt
troubled|беспокойный|'trAbld
truant|прогульщик|'tru(:)qnt
true|правдиво|tru:
truncheon|дубинка полицейского|'trAntSqn
trustee|попечитель|trAs'ti:
tube|труба|tju:b
tune|мелодия|tju:n
tunnel|туннель|'tAnl
turf|дерн|tq:f
turmoil|суматоха|'tq:mOIl
turn|оборот|tq:n
turner|гимнаст|'tq:nq
twice|дважды|twaIs
twin|двойник|twIn
twist|крутить|twIst
twisted|искривленный|
two-way|двусторонний|'tu:'weI
type|писать на машинке|taIp
typical|типичный|'tIpIkql
ugly|безобразный|'AglI
ultimate|последний|'AltImIt
ultimatum|ультиматум|,AltI'meItqm
ultra-left|ультралевый|
ultra-right|ультраправый|
unanimous|единодушный|ju(:)'nxnImqs
unarmed|безоружный|'An'Q:md
unaware|незнающий|'Anq'wFq
unbearably|невыносимо|
unbeaten|непроторенный|'An'bi:tn
uncertain|неясный|An'sq:tn
unchanged|неизменившийся|'An'tSeIndZd
uncomfortable|неудобный|An'kAmfqtqbl
uncommon|необыкновенный|An'kOmqn
under|книзу, ниже|'Andq
under-secretary|заместитель министра|
undergo|испытывать|,Andq'gqu
underline|подчеркивать|,Andq'laIn
underlying|лежащий в основе|,Andq'laIIN
undermine|подрывать|,Andq'maIn
understandably|понятно|
undertaking|предприятие|,Andq'teIkIN
undesirable|нежелательный|'AndI'zaIqrqbl
undoubtedly|несомненно|
unexpected|неожиданный|'AnIks'pektId
unfair|несправедливый|,An'feq
unfairly|несправедливо|
unfavourable|неблагоприятный|'An'feIvqrqbl
unfortunate|несчастливый|An'fO:tSnIt
unfortunately|к несчастью|
unhappy|несчастный|An'hxpI
uniformed|одетый в форму|'ju:nIfO:md
unify|объединять|'ju:nIfaI
unilateral|односторонний|'ju:nI'lxtqrql
universal|всеобщий|,ju:nI'vq:sql
unlike|непохожий|'An'laIk
unlimited|неограниченный|An'lImItId
unlucky|неудачный|An'lAkI
unnecessary|ненужный|An'nesIsqrI
unofficial|неофициальный|'Anq'fISql
unpleasant|неприятный|An'pleznt
unprecedented|беспрецедентный|An'presIdqntId
unpredictable|непредсказуемый|'AnprI'dIktqbl
unresolved|нерешенный|'AnrI'zOlvd
unrest|беспокойство|'An'rest
unsatisfactory|неудовлетворительный|'An,sxtIs'fxktqrI
unspeakable|невыразимый|An'spi:kqbl
unsuccessful|неудачный|'Ansqk'sesful
unsuccessfully|неудачно|
untrue|неверный|'An'tru:
unusually|необычно|An'ju:ZuqlI
unwise|неразумный|'An'waIz
uphold|поддерживать|Ap'hquld
upstairs|наверху|'Ap'stFqz
uranium|уран|ju'reInjqm
urgency|срочность|'q:dZqnsI
urn|урна|q:n
used|использованный|ju:zd
useless|бесполезный|'ju:slIs
user|потребитель|'ju:zq
usually|обычно|'ju:ZuqlI
utility|полезность|ju(:)'tIlItI
utmost|крайний|'Atmqust
utter|произносить|'Atq
vacancy|вакансия|'veIkqnsI
vacant|незанятый|'veIkqnt
vacate|освобождать|vq'keIt
vacation|каникулы|vq'keISqn
vague|неопределенный|veIg
valid|действительный|'vxlId
valuation|оценка|,vxlju'eISqn
value|оценивать|'vxlju:
van|авангард|vxn
vanish|исчезать|'vxnIS
vassal|вассал|'vxsql
vastly|значительно|'vQ:stlI
vault|свод|vO:lt
vegetable|растительный|'vedZItqbl
vehemently|сильно|
vein|вена|veIn
venture|рискованное предприятие|'ventSq
vertical|вертикальный|'vq:tIkql
veto|вето|'vi:tqu
via|через|'vaIq
viable|жизнеспособный|'vaIqbl
vicar|викарий|'vIkq
vice-chairman|заместитель председателя|'vaIs'tSFqmqn
victimization|преследование|,vIktImaI'zeISqn
view|осматривать|vju:
viewpoint|точка зрения|'vju:pOInt
vigorous|сильный|'vIgqrqs
vigorously|сила|'vIgqrqslI
vigour|сила|'vIgq
viking|викинг|'vaIkIN
villa|вилла|'vIlq
villager|сельский житель|'vIlIdZq
violate|нарушать|'vaIqleIt
violent|неистовый|'vaIqlqnt
violently|неистово|'vaIqlqntlI
violin|скрипка|,vaIq'lIn
virgin|девственный|'vq:dZIn
virtual|фактический|'vq:tjuql
virtually|фактически|'vq:tjuqlI
virtue|добродетель|'vq:tju:
vision|зрение|'vIZqn
visiting|приезжий|'vIzItIN
vocal|устный|'vqukql
volunteer|предлагать|,vOlqn'tIq
vow|давать обет, обещание|vau
wage|нанимать|weIdZ
wagon|тележка|'wxgqn
waiting|ожидание, ожидающий|'weItIN
wake|бодрствование, просыпаться|weIk
walking|гуляющий|'wO:kIN
walkout|забастовка|'wO:k'aut
want|недостаток|wOnt
warfare|война|'wO:fFq
warrant|ордер|'wOrqnt
warship|военный корабль|'wO:SIp
wartime|военное время|'wO:taIm
wash|мыть|wOS
waste|потери, расточать|weIst
wasteful|расточительный|'weIstful
watching|наблюдение|
water-colour|акварель|'wO:tq,kAlq
wave|развевать|weIv
weak|слабый|wi:k
weaken|ослаблять|'wi:kqn
wedding|свадьба|'wedIN
wedge|втискивать|wedZ
weigh|взвешивать|weI
wet|мокрый|wet
whatsoever|что бы ни|,wOtsqu'evq
whenever|когда бы ни|wen'evq
whereas|тогда как|wFqr'xz
whereby|чем, при помощи|wFq'baI
whip|хлыст, хлестать|wIp
whisper|шептать|'wIspq
wholly|полностью|'hqulI
wicked|злой|'wIkId
wicket|калитка|'wIkIt
wield|держать в руках|wi:ld
wildlife|зарница|'waIldlaIf
willing|готовый|'wIlIN
willingness|готовность|'wIlINnIs
wind|чуять|waInd
winding|изгиб|'waIndIN
windscreen|переднее стекло|
wine|вино|waIn
winning|победа, выигрывающий|'wInIN
wipe|вытирать|waIp
wire|проволока|'waIq
wisdom|мудрость|'wIzdqm
wise|мудрый|waIz
wishful|желаемый|'wISful
witch|ведьма|wItS
withdrawal|отзыв|wID'drO:ql
withhold|отказываться|wID'hquld
without|снаружи|wI'Daut
woefully|удручающе|
wolf|волк|wulf
wonder|чудо|'wAndq
woo|ухаживать|wu:
woodward|лесничий|'wudwqd
wool|шерсть|wul
workman|рабочий|'wq:kmqn
workplace|место работы|
workshop|мастерская|'wq:kSOp
worldwide|мировой|
worsen|ухудшать|'wq:sn
worship|поклоняться|'wq:SIp
worthy|достойный|'wq:DI
wreck|вызывать катастрофу|rek
wrecker|грабитель|'rekq
wright|мастер|
wrist|запястье|rIst
yacht|яхта|jOt
yearly|ежегодно|'jq:lI
yes|да|jes
yield|урожай|ji:ld
youngster|юноша|'jANstq
yourself|себя, себе|jO:'self
zinc|цинк|zINk
